0,1
0,"[1, 0.54796495212192504215, 0.55877251600185422653, 0.6228617619444254627, 0.6924619265233200702, 0.6361684491083678522]"
1,"[2, 0.40340802291010729116, 1.0577771768422420844, 0.5075519660886857096, 0.3671088611954533783, 0.67585940970037220143]"
2,"[3, 0.20188540711156744702, 0.7998324395177121252, 0.20499340602496773064, 0.903608053493192384, 0.5430758886383656107]"
3,"[4, 0.43017113874988089178, 0.49727453169401225188, 0.44417704128527718953, 0.24180893187176768182, 0.4331522333779173681]"
4,"[5, 0.43877699923797213306, 0.48643006384137108978, 0.7105409603818118435, 0.6483589560523537588, 0.16349215799791272271]"
5,"[6, 1.0134165182728202607, 1.0135095817627909851, 0.7409144363417588604, 0.20568876350180357047, 0.2766136510119019531]"
6,"[7, 0.50514831737345276076, 0.4451003430305158758, 0.70054288367008728613, 0.40413029972572803332, 0.6284404274522797315]"
7,"[8, 0.41852236280540283499, 0.55185579581983203423, 0.27108185123608226607, 0.6326995799356637562, 0.3053690414967127529]"
8,"[9, 0.34864915171197667504, 0.46549151375032722674, 0.20564137294503373567, 0.7170286423094437412, 0.7176670987256399148]"
9,"[10, 0.780125464109672113, 0.46938320711306160446, 0.8219000111253215817, 0.5796940418606840187, 0.41063905952426364953]"
10,"[11, 0.75395539852772432447, 0.9027950298195233212, 0.8642319278188792477, 0.16425385882697286929, 0.078564147674937072826]"
11,"[12, 0.089950810700583577996, 0.61732724600277470625, 0.3079338034903849149, 0.34408203099638854462, 0.65974751944125299523]"
12,"[13, 0.49664185742316675263, 0.48063568922675773922, 0.64423674253555140924, 0.68747769307702977427, 0.38823916780954497504]"
13,"[14, 0.86463381357967655495, 0.47029320511439515412, 0.95842587560264810604, 0.46360332017901367504, 0.20699366572098708386]"
14,"[15, 0.5635331987021322565, 0.721617723911123838, 0.41801576907724091818, 0.5898012508418038062, 0.4299484881445481521]"
15,"[16, 0.85423476682317973674, 0.68468606228855652136, 0.42015799558256185136, 0.795358842462262356, 0.59190752282056156196]"
16,"[17, 0.5944560451573604511, 0.24039073876145256561, 1.1791427004611406483, 0.47724373975198330802, 0.74264747006690757337]"
17,"[18, 0.7963878736672170252, 0.7531102495179738411, 0.38258334035833975912, 0.5775295063485827074, 0.55024996347228042]"
18,"[19, 0.086829516179776664576, 0.7410224011086783941, 0.074534907827719156496, 0.51126535615752063523, 0.921818856773720232]"
19,"[20, 0.51423613493499203194, 0.1658794794112609698, 0.5070988946972465253, 0.4976036675290225751, 0.5250605646054937694]"
20,"[21, 0.41586384294872426798, 0.57031128289981232313, 0.5512405153697739305, 0.6415104705083939713, 0.8701100933045367085]"
21,"[22, 0.6400763558443227814, 0.79141538212044509345, 0.36203480089733103907, 0.59289163290869553345, 0.32391643495810700255]"
22,"[23, 0.550789051117460383, 0.5178706098731772757, 0.1896421231312815697, 1.0013385930681618267, 0.2627066011210404849]"
23,"[24, 0.22909795055616239455, 0.77237203207101376375, 0.41832996223181148293, 0.69183246080601318745, 0.47438744956000002617]"
24,"[25, 0.2913948298031663343, 0.91818399024614111314, 0.71494009216527235843, 0.9321473102075471583, 0.35078998099241964951]"
25,"[26, 0.5151742021199806742, 0.3856567594549183759, 0.6651434214113505589, 0.7525564610050036232, 0.681805886884167209]"
26,"[27, 0.7973308649574667963, 0.74004501862071793823, 0.5065491360467317544, 0.6326088827330293988, 0.08883998065747903111]"
27,"[28, 0.7266938340073869182, 0.6110491781173394963, 0.6750294250999204693, 0.8152738481413683401, 0.74082797457339311824]"
28,"[29, 0.77409009665723687796, 0.66791653683163274675, 0.67742275346719514064, 0.74656428803102320034, 0.6025223318389705719]"
29,"[131098, 0.10100000000000000644, 0.16600000000000000866, 0.36399999999999999023, 0.43800000000000000044, 0.23899999999999999023]"
30,"[31, 0.5553766925040491555, 0.9506844394638866447, 0.5135601414392960471, 0.2431492528675485021, 0.32965203343769060887]"
31,"[32, 0.72577160935764181666, 0.8132985527560350409, 0.96444607268509681565, 0.25738210772406968767, 0.5256870696898439792]"
32,"[131104, 0.6657075461370892895, 0.66345284879068755886, 0.3613680499431921263, 0.7660464395148312394, 0.3306755701227506518]"
33,"[34, 0.040287271632900057927, 1.0934908110638485797, 0.5292492847422280747, 0.28585250885882591634, 1.0219350671706157018]"
34,"[30, 0.4412240673316430397, 0.2461576358458381821, -0.017404975401147859223, 0.4483953792295422464, 0.66937594621992333723]"
35,"[36, 0.6144672538299935459, 0.8450666008983225004, 0.66525828419182592757, 0.2970724325542084633, 0.69911975999065102433]"
36,"[32799, 0.4591680642204743075, 0.6805387859333272388, 0.53665427501548721096, 0.3860299615590627021, 0.6355635160965765706]"
37,"[38, 0.42753864496495437027, 0.57058821129733661355, 0.41252656578599088824, 0.4014114884260127616, 0.5285332174604519906]"
38,"[39, 0.7802852227069885565, 0.80583056233938355357, 0.1043324422556024569, 0.33719455117981887317, 1.0066204452979093633]"
39,"[40, 0.6508286649149598329, 0.74749289288275059964, 0.637285145323909663, 0.35569200777609788478, 0.8480590705946200046]"
40,"[41, 0.7640102398680374885, 0.35364580310893370098, 0.82610041721315603206, 0.65670335854621220926, 0.5811663005188668471]"
41,"[65577, 0.4522854760386227014, 0.48727044074107045426, 0.44743564110455075262, 0.34502404825589066644, 0.40736342936203379623]"
42,"[43, 0.5154191077149287055, 0.5116461805644402286, 0.5495412942379183248, 0.33846016741091531247, 0.73450885090625481737]"
43,"[44, -0.040958831282287578842, 0.7433557154448238338, 0.67401774775395184873, 0.1820510978924380311, 0.5031298241722780843]"
44,"[45, 1.02682704445373287, 0.43276037764332084883, 0.38867175849748214736, 0.7438396542162554332, 0.44107905859605831098]"
45,"[46, 0.5206984118868196798, 0.47458577978001894343, 0.37027977690511455812, 0.8019810987991615392, 0.3506453383266932129]"
46,"[47, 1.1283400925980811184, 0.17554178496387197666, 1.2796300199859003358, 0.5244150196870115777, 0.4031555051031337941]"
47,"[48, -0.21222182170700649039, 1.0603539141604524574, 0.46912555694085285491, 1.0762684945016335621, 0.17666483162217609576]"
48,"[65585, 0.6521060339152213931, 0.5727235598251422645, 0.66377405161871190677, 0.6465931391101060884, 0.46512144222254574738]"
49,"[50, 0.74356970132162978086, 0.4498377531968838946, 1.2919722677738658054, 0.82587420732949653264, 0.31694038422949228557]"
50,"[49, 0.27100000000000001865, 0.31400000000000000133, 0.0070000000000000001457, 0.317000000000000004, 0.05399999999999999939]"
51,"[52, 0.7961728240360676789, 0.5607743056173472815, 1.0010200785239968184, 0.50600106487962242814, -0.008972891778542593152]"
52,"[53, 0.8129398516261556584, 0.5353439388135784352, 0.46410778948172610997, 0.6867984225105173425, 0.96573285812283795205]"
